Age Range,Hombre,Mujer,Total,Porcentaje_Hombres,Porcentaje_Mujeres,Porcentaje_Total
0-9,41,41,82,5.269922879177378,5.269922879177378,10.539845758354756
10-19,51,68,119,6.555269922879177,8.740359897172237,15.295629820051415
20-29,54,71,125,6.940874035989718,9.125964010282777,16.066838046272494
30-39,63,21,84,8.097686375321336,2.6992287917737787,10.796915167095115
40-49,25,22,47,3.2133676092544987,2.827763496143959,6.041131105398458
50-59,51,49,100,6.555269922879177,6.298200514138817,12.853470437017995
60-69,21,111,132,2.6992287917737787,14.267352185089974,16.966580976863753
70-79,52,23,75,6.683804627249357,2.956298200514139,9.640102827763496
80+,4,10,14,0.5141388174807198,1.2853470437017995,1.7994858611825193
